stratum,relation_id,reviewer_b_status,reviewer_b_id,reviewer_b_date,reviewer_b_reason
variant,REL_01055,,,,
variant,REL_01225,,,,
variant,REL_01241,,,,
variant,REL_00793,,,,
variant,REL_00943,,,,
variant,REL_01283,,,,
variant,REL_01015,,,,
variant,REL_01312,,,,
variant,REL_00794,,,,
variant,REL_01165,,,,
variant,REL_00821,,,,
variant,REL_01196,,,,
variant,REL_00966,,,,
variant,REL_00839,,,,
variant,REL_00984,,,,
variant,REL_01105,,,,
variant,REL_00714,,,,
variant,REL_01318,,,,
variant,REL_01325,,,,
variant,REL_00860,,,,
variant,REL_01130,,,,
variant,REL_00763,,,,
variant,REL_00720,,,,
variant,REL_00728,,,,
variant,REL_01184,,,,
